UF;PRESENCA_PROPORCAO
AC;0.6374508023009385
AL;0.7006614470842333
AM;0.5468017915746455
AP;0.6522349102773246
BA;0.6822062121031193
CE;0.7517587298040358
DF;0.7006709608158883
ES;0.6956387588371812
GO;0.6779197925349634
MA;0.7051998232988319
MG;0.707155988461851
MS;0.6587476369589367
MT;0.6373078398394854
PA;0.7034963174380495
PB;0.7274127549670935
PE;0.7239231529996002
PI;0.7398740207005633
PR;0.7020071796125676
RJ;0.696026565582919
RN;0.7381891111872034
RO;0.6596648449843301
RR;0.649389523434423
RS;0.5100147291238859
SC;0.6889809305552635
SE;0.748579729321578
SP;0.7175575349767851
TO;0.6686933611280003
